id,wikidata,given-names,family-names,image_source,wikipedia_url,wikipedia_bio,image_location,image_small,image_thumb,image_alt_text
53,Q4818312,Attia,Hosain,Wikipedia,https://en.wikipedia.org/wiki/Attia_Hosain,"Attia Hosain was an Indian-born British novelist, author, writer, broadcaster, journalist and actor. She was a woman of letters and a diasporic writer. She wrote in English although her mother tongue was Urdu. She wrote the semi-autobiographical novel Sunlight on a Broken Column (1961) and a collection of short stories titled Phoenix Fled.
Her career began in England in semi-exile making a contribution to post-colonial literature. Anita Desai, Vikram Seth, Aamer Hussein and Kamila Shamsie have acknowledged her influence. (Source: Wikipedia)",/objects/53.jpg,/objects/small/53_sm.jpg,/objects/thumbs/53_th.jpg,Image of Attia Hosain from Wikipedia
54,Q220480,Zora Neale,Hurston,Wikipedia,https://en.wikipedia.org/wiki/Zora_Neale_Hurston,"Zora Neale Hurston was an American writer, anthropologist, folklorist, and documentary filmmaker. She portrayed racial struggles in the early-20th-century American South and published research on Hoodoo and Caribbean Vodou. The most popular of her four novels is Their Eyes Were Watching God, published in 1937. She also wrote more than 50 short stories, plays, an autobiography, ethnographies, and many essays. Some of her work, namely Tell My Horse (1937), explored ethnomusicological methods of study long before there were formal boundaries for the discipline, especially not boundaries that included the respectful study of communities of color. Hurston's unique background and exceptional approach to anthropology laid key foundations for the growth of ethnography, literature, and Africana Studies. (Source: Wikipedia)",/objects/54.jpg,/objects/small/54_sm.jpg,/objects/thumbs/54_th.jpg,Image of Zora Neale Hurston from Wikipedia
55,Q6882,James,Joyce,Wikipedia,https://en.wikipedia.org/wiki/James_Joyce,"James Augustine Aloysius Joyce was an Irish novelist, poet, and literary critic. He contributed to the modernist movement and is regarded among the most influential and important writers of the 20th century. Joyce's novel Ulysses (1922) is a landmark in which the episodes of Homer's Odyssey are paralleled in a variety of literary styles, particularly stream of consciousness. Other well-known works are the short-story collection Dubliners (1914) and the novels A Portrait of the Artist as a Young Man (1916) and Finnegans Wake (1939). His other writings include two books of poetry, a play, correspondence, and occasional journalism. (Source: Wikipedia)",/objects/55.jpg,/objects/small/55_sm.jpg,/objects/thumbs/55_th.jpg,Image of James Joyce from Wikipedia
56,Q160534,Jack,Kerouac,Wikipedia,https://en.wikipedia.org/wiki/Jack_Kerouac,"Jean-Louis Lebris de Kérouac, known as Jack Kerouac, was an American novelist and poet who, alongside William S. Burroughs and Allen Ginsberg, was a pioneer of the Beat Generation. (Source: Wikipedia)",/objects/56.jpg,/objects/small/56_sm.jpg,/objects/thumbs/56_th.jpg,Image of Jack Kerouac from Wikipedia
57,Q2778027,A.M.,Klein,Wikipedia,https://en.wikipedia.org/wiki/A._M._Klein,"Abraham Moses Klein was a Canadian poet, journalist, novelist, short story writer and lawyer. He has been called ""one of Canada's greatest poets and a leading figure in Jewish-Canadian culture."" (Source: Wikipedia)",/objects/57.jpg,/objects/small/57_sm.jpg,/objects/thumbs/57_th.jpg,Image of A.M. Klein from Wikipedia
58,Q4819165,Aubrey,Menen,Goodreads,https://en.wikipedia.org/wiki/Aubrey_Menen,"Salvator Aubrey Clarence Menen was a British writer, novelist, satirist and theatre critic. His essays and novels explore the nature of nationalism and the cultural contrast between his own Irish-Indian ancestry and his traditional British upbringing. The first sentence of Dead Man in the Silver Market offers an example of his good-humoured approach to this contentious topic: ""Men of all races have always sought for a convincing explanation of their own astonishing excellence and they have frequently found what they were looking for."" (Source: Wikipedia)",/objects/58.jpg,/objects/small/58_sm.jpg,/objects/thumbs/58_th.jpg,Image of Aubrey Menen from Goodreads
59,Q528576,Rose,Macaulay,Wikipedia,https://en.wikipedia.org/wiki/Rose_Macaulay,"Dame Emilie Rose Macaulay, was an English writer, most noted for her award-winning novel The Towers of Trebizond, about a small Anglo-Catholic group crossing Turkey by camel. (Source: Wikipedia)",/objects/59.jpg,/objects/small/59_sm.jpg,/objects/thumbs/59_th.jpg,Image of Rose Macaulay from Wikipedia
60,Q5203099,D'Arcy,McNickle,Wikipedia,https://en.wikipedia.org/wiki/D%27Arcy_McNickle,"William D'Arcy McNickle was a writer, Native American activist, college professor and administrator, and anthropologist. Of Irish and Cree-Métis descent, he later enrolled in the Salish Kootenai nation, as his mother had come to Montana with the Métis as a refugee. He is known also for his novel The Surrounded. (Source: Wikipedia)",/objects/60.jpg,/objects/small/60_sm.jpg,/objects/thumbs/60_th.jpg,Image of D'Arcy McNickle from Wikipedia
61,Q461571,Naomi,Mitchison,Wikipedia,https://en.wikipedia.org/wiki/Naomi_Mitchison,"Naomi Mary Margaret Mitchison, Baroness Mitchison was a Scottish novelist and poet. Often called a doyenne of Scottish literature, she wrote more than 90 books of historical and science fiction, travel writing and autobiography. Her husband Dick Mitchison's life peerage in 1964 entitled her to call herself Lady Mitchison, but she never did. Her 1931 work, The Corn King and the Spring Queen, is seen by some as the prime 20th-century historical novel. (Source: Wikipedia)",/objects/61.jpg,/objects/small/61_sm.jpg,/objects/thumbs/61_th.jpg,Image of Naomi Mitchison from Wikipedia
62,Q5268884,Dhan Gopal,Mukerji,Wikipedia,https://en.wikipedia.org/wiki/Dhan_Gopal_Mukerji,"Dhan Gopal Mukerji was the first successful Indian man of letters in the United States and won a Newbery Medal in 1928. He studied at Duff School, and at Duff College, both within the University of Calcutta in India, at the University of Tokyo in Japan and at the University of California, Berkeley and Stanford University in the US. (Source: Wikipedia)",/objects/62.jpg,/objects/small/62_sm.jpg,/objects/thumbs/62_th.jpg,Image of Dhan Gopal Mukerji from Wikipedia
63,Q334252,R.K.,Narayan,Wikipedia,https://en.wikipedia.org/wiki/R._K._Narayan,"Rasipuram Krishnaswami Narayanaswami, better known as R. K. Narayan, was an Indian writer and novelist known for his work set in the fictional South Indian town of Malgudi. He was a leading author of early Indian literature in English along with Mulk Raj Anand and Raja Rao. In 1980, he received the AC Benson Medal from the Royal Society of Literature, and in 1981 he was made an Honorary Member of the American Academy and Institute of Arts and Letters. (Source: Wikipedia)",/objects/63.jpg,/objects/small/63_sm.jpg,/objects/thumbs/63_th.jpg,Image of R.K. Narayan from Wikipedia
64,Q1398332,John Cowper,Powys,Wikipedia,https://en.wikipedia.org/wiki/John_Cowper_Powys,"John Cowper Powys was an English novelist, philosopher, lecturer, critic and poet born in Shirley, Derbyshire, where his father was vicar of the parish church in 1871–1879. Powys appeared with a volume of verse in 1896 and a first novel in 1915, but gained success only with his novel Wolf Solent in 1929. He has been seen as a successor to Thomas Hardy, and Wolf Solent, A Glastonbury Romance (1932), Weymouth Sands (1934), and Maiden Castle (1936) have been called his Wessex novels. As with Hardy, landscape is important to his works. So is elemental philosophy in his characters' lives. In 1934 he published an autobiography. His itinerant lectures were a success in England and in 1905–1930 in the United States, where he wrote many of his novels and had several first published. He moved to Dorset, England, in 1934 with a US partner, Phyllis Playter. In 1935 they moved to Corwen, Merionethshire, Wales, where he set two novels, and in 1955 to Blaenau Ffestiniog, where he died in 1963. (Source: Wikipedia)",/objects/64.jpg,/objects/small/64_sm.jpg,/objects/thumbs/64_th.jpg,Image of John Cowper Powys from Wikipedia
65,Q272585,Barbara,Pym,Wikipedia,https://en.wikipedia.org/wiki/Barbara_Pym,"Barbara Mary Crampton Pym was an English novelist. In the 1950s, she published a series of social comedies, of which the best known are Excellent Women (1952) and A Glass of Blessings (1958). After a period of rejection by publishers, her career was revived in 1977 when the critic Lord David Cecil and the poet Philip Larkin nominated her as the most underrated writer of the previous 75 years. Her novel Quartet in Autumn (1977) was nominated for the Booker Prize that year, and she was elected as a Fellow of the Royal Society of Literature. (Source: Wikipedia)",/objects/65.jpg,/objects/small/65_sm.jpg,/objects/thumbs/65_th.jpg,Image of Barbara Pym from Wikipedia
66,Q560735,Chaim,Potok,Wikipedia,https://en.wikipedia.org/wiki/Chaim_Potok,"Chaim Potok, was an American author, novelist, playwright, editor and rabbi. Among the more than a dozen books he authored, his first novel The Chosen (1967) was listed on The New York Times Best Seller list for 39 weeks and sold more than 3.4 million copies as of 2002, and was adapted into a well-received 1981 feature film by the same title. (Source: Wikipedia)",/objects/66.jpg,/objects/small/66_sm.jpg,/objects/thumbs/66_th.jpg,Image of Chaim Potok from Wikipedia
67,Q1975074,Raja,Rao,Wikipedia,https://en.wikipedia.org/wiki/Raja_Rao,"Raja Rao was an Indian-American writer of English-language novels and short stories, whose works are deeply rooted in metaphysics. Rao has been described as a powerful writer and a scholar well versed in the Hindu, Buddhist, and Christian philosophies. The Serpent and the Rope (1960), a semi-autobiographical novel recounting a search for spiritual truth in Europe and India, established him as one of the finest Indian prose stylists and won him the Sahitya Akademi Award in 1963. For the entire body of his work, Rao was awarded the Neustadt International Prize for Literature in 1988. Rao's wide-ranging body of work, spanning a number of genres, is seen as a varied and significant contribution to Indian English literature, as well as to World literature as a whole. (Source: Wikipedia)",/objects/67.jpg,/objects/small/67_sm.jpg,/objects/thumbs/67_th.jpg,Image of Raja Rao from Wikipedia
