id,author_id,religion_id,significance
1,43,18,major
2,43,32,major
3,44,2,major
4,44,29,major
5,45,18,major
6,45,31,major
7,46,1,major
8,46,31,major
9,47,1,major
10,47,26,major
11,47,32,major
12,48,4,major
13,48,26,major
